itemnumber,itemtext,nbackInstruction,condsFile,square,loc1,loc2,corrAns,trialsNum,trialNum,wakeup.thisRepN,wakeup.thisTrialN,wakeup.thisN,wakeup.thisIndex,questions.thisRepN,questions.thisTrialN,questions.thisN,questions.thisIndex,nb_taskloop.thisRepN,nb_taskloop.thisTrialN,nb_taskloop.thisN,nb_taskloop.thisIndex,nb_trials.thisRepN,nb_trials.thisTrialN,nb_trials.thisN,nb_trials.thisIndex,key_resp_3.keys,key_resp_3.started,key_resp_3.stopped,text_4.started,text_4.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.started,mouse_2.stopped,h_eoec.started,h_eoec.stopped,text_2.started,text_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_3.started,text_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,img_whte.started,img_whte.stopped,img_black.started,img_black.stopped,text_5.started,text_5.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.started,mouse.stopped,h_arsq.started,h_arsq.stopped,slider.response,slider.rt,slider.started,slider.stopped,text.started,text.stopped,key_resp_9.keys,key_resp_9.started,key_resp_9.stopped,key_resp_9.rt,instrText.started,instrText.stopped,h_nback.started,h_nback.stopped,instrImg.started,instrImg.stopped,trialResp.keys,trialResp.started,trialResp.stopped,trialSquare.started,trialSquare.stopped,trialFix.started,trialFix.stopped,gridLine1.started,gridLine1.stopped,gridLine2.started,gridLine2.stopped,gridLine3.started,gridLine3.stopped,gridLine4.started,gridLine4.stopped,gridLine5.started,gridLine5.stopped,gridLine6.started,gridLine6.stopped,gridLine7.started,gridLine7.stopped,gridLine8.started,gridLine8.stopped,trialResp.rt,participant,session,date,expName,psychopyVersion,frameRate,
8,I thought about my behavior,,,,,,,,,,,,,0,0,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.61313465599983,None,4.0,7.099779840999872,37.45443971999998,None,37.45443971999998,None,None,37.45443971999998,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022_aug_16_1112,new_task_ARSQ,2021.2.3,59.97752953850381,
22,I felt ill,,,,,,,,,,,,,0,1,1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.699177508000048,44.7732330729998,None,44.7732330729998,None,None,44.7732330729998,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022_aug_16_1112,new_task_ARSQ,2021.2.3,59.97752953850381,
9,I thought about myself,,,,,,,,,,,,,0,2,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.1247732910001105,46.697974724999995,None,46.697974724999995,None,None,46.697974724999995,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022_aug_16_1112,new_task_ARSQ,2021.2.3,59.97752953850381,
23,I thought about my health,,,,,,,,,,,,,0,3,3,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.6510988810000526,48.047612009999966,None,48.047612009999966,None,None,48.047612009999966,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022_aug_16_1112,new_task_ARSQ,2021.2.3,59.97752953850381,
31,I had difficulty remembering my thoughts,,,,,,,,,,,,,0,4,4,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.6751033190000726,48.92590564699981,None,48.92590564699981,None,None,48.92590564699981,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022_aug_16_1112,new_task_ARSQ,2021.2.3,59.97752953850381,
21,I thought about my heartbeat,,,,,,,,,,,,,0,5,5,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.6466122609999729,49.82406811599981,None,49.82406811599981,None,None,49.82406811599981,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022_aug_16_1112,new_task_ARSQ,2021.2.3,59.97752953850381,
15,I had difficulty staying awake,,,,,,,,,,,,,0,6,6,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.475222568999925,50.696943363999935,None,50.696943363999935,None,None,50.696943363999935,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022_aug_16_1112,new_task_ARSQ,2021.2.3,59.97752953850381,
16,I felt comfortable,,,,,,,,,,,,,0,7,7,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.515758734999963,51.39610441699983,None,51.39610441699983,None,None,51.39610441699983,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022_aug_16_1112,new_task_ARSQ,2021.2.3,59.97752953850381,
3,I had difficulty holding on to my thoughts,,,,,,,,,,,,,0,8,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.42728145300020515,52.138426708,None,52.138426708,None,None,52.138426708,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022_aug_16_1112,new_task_ARSQ,2021.2.3,59.97752953850381,
30,I imagined talking to myself,,,,,,,,,,,,,0,9,9,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.39874886600000536,52.79653301799999,None,52.79653301799999,None,None,52.79653301799999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022_aug_16_1112,new_task_ARSQ,2021.2.3,59.97752953850381,
19,I was conscious of my body,1,nBack1Cond.xlsx,6,0.2,0,None,1,1,,,,,0,10,10,18,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,53.41932910899982,None,53.41932910899982,None,s,53.41932910899982,None,2.177766561999988,55.86940651699979,None,55.86940651699979,None,55.86940651699979,None,None,71.74442757299994,None,71.74442757299994,72.7455382669998,72.7455382669998,None,71.74442757299994,None,71.74442757299994,None,71.74442757299994,None,71.74442757299994,None,71.74442757299994,None,71.74442757299994,None,71.74442757299994,None,71.74442757299994,None,,,001,2022_aug_16_1112,new_task_ARSQ,2021.2.3,59.97752953850381,
19,I was conscious of my body,1,nBack1Cond.xlsx,6,0.2,0,space,1,2,,,,,0,10,10,18,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,73.69809298799987,None,73.69809298799987,74.71230251399993,74.67901869399998,75.6788399489999,73.69809298799987,None,73.69809298799987,None,73.69809298799987,None,73.69809298799987,None,73.69809298799987,None,73.69809298799987,None,73.69809298799987,None,73.69809298799987,None,,,001,2022_aug_16_1112,new_task_ARSQ,2021.2.3,59.97752953850381,
19,I was conscious of my body,1,nBack1Cond.xlsx,2,0,0.2,None,1,3,,,,,0,10,10,18,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,75.69604967199984,None,75.69604967199984,76.69564326299997,76.67887515199982,77.6788792509999,75.69604967199984,None,75.69604967199984,None,75.69604967199984,None,75.69604967199984,None,75.69604967199984,None,75.69604967199984,None,75.69604967199984,None,75.69604967199984,None,0.6498617700001432,,001,2022_aug_16_1112,new_task_ARSQ,2021.2.3,59.97752953850381,
19,I was conscious of my body,1,nBack1Cond.xlsx,9,0.2,-0.2,None,1,4,,,,,0,10,10,18,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,77.696862066,None,77.696862066,78.71216542799993,78.67885959,79.67884800299998,77.696862066,None,77.696862066,None,77.696862066,None,77.696862066,None,77.696862066,None,77.696862066,None,77.696862066,None,77.696862066,None,0.6656597739997778,,001,2022_aug_16_1112,new_task_ARSQ,2021.2.3,59.97752953850381,
19,I was conscious of my body,1,nBack1Cond.xlsx,9,0.2,-0.2,space,1,5,,,,,0,10,10,18,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,79.69564511299996,None,79.69564511299996,80.69539481799984,80.678749659,81.67869755299989,79.69564511299996,None,79.69564511299996,None,79.69564511299996,None,79.69564511299996,None,79.69564511299996,None,79.69564511299996,None,79.69564511299996,None,79.69564511299996,None,0.6667818050000278,,001,2022_aug_16_1112,new_task_ARSQ,2021.2.3,59.97752953850381,
19,I was conscious of my body,1,nBack1Cond.xlsx,6,0.2,0,None,1,6,,,,,0,10,10,18,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,81.69541749999985,None,81.69541749999985,82.69553727399989,82.67885879799996,83.67874858699997,81.69541749999985,None,81.69541749999985,None,81.69541749999985,None,81.69541749999985,None,81.69541749999985,None,81.69541749999985,None,81.69541749999985,None,81.69541749999985,None,0.7003075869999975,,001,2022_aug_16_1112,new_task_ARSQ,2021.2.3,59.97752953850381,
19,I was conscious of my body,1,nBack1Cond.xlsx,4,-0.2,0,None,1,7,,,,,0,10,10,18,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,83.69615938799984,None,83.69615938799984,84.6952994039998,84.67869960299981,85.67868127099996,83.69615938799984,None,83.69615938799984,None,83.69615938799984,None,83.69615938799984,None,83.69615938799984,None,83.69615938799984,None,83.69615938799984,None,83.69615938799984,None,1.5994660300000305,,001,2022_aug_16_1112,new_task_ARSQ,2021.2.3,59.97752953850381,
